model,train_accuracy,train_loss,test_accuracy,epoch
inception_v3,0.30643333333333334,1.8504097872734069,0.9157,0
inception_v3,0.9651333333333333,0.12466237837076187,0.9753,1
inception_v3,0.9827,0.061122968242565794,0.9889,2
inception_v3,0.9879333333333333,0.04308571037451426,0.9907,3
inception_v3,0.9896666666666667,0.03528934851288795,0.9905,4
inception_v3,0.99085,0.030984036669135094,0.9912,5
inception_v3,0.99275,0.025528332413484654,0.9925,6
inception_v3,0.9930166666666667,0.02447135851830244,0.9929,7
inception_v3,0.9938333333333333,0.02132402966792385,0.9922,8
inception_v3,0.9939,0.019962906770283978,0.9938,9
