model,augmentation,sheduler,time,lr,epoch,train_loss,train_accuracy,val_loss,val_accuracy
с нуля,Base,None,275.13203859329224,0.1,0,2.8763722956961417,0.2074123953038872,2.6219861880697386,0.28929924242424243
с нуля,Base,None,117.45623707771301,0.1,1,2.2701914294838383,0.39489114288782307,2.1994375219248763,0.42503156565656564
с нуля,Base,None,118.37220215797424,0.1,2,1.8066480446070041,0.5295766518720023,1.8919724111605172,0.5135732323232324
с нуля,Base,None,116.4629213809967,0.1,3,1.4759738804471545,0.6181645518648435,1.6783236307327194,0.5516098484848485
с нуля,Base,None,115.06671285629272,0.1,4,1.2404392728638962,0.6794084222206314,1.4201635417312082,0.631155303030303
с нуля,Base,None,117.31624603271484,0.1,5,1.0551143455193033,0.7282968090056554,1.2156883886065146,0.6868686868686869
с нуля,Base,None,115.80502676963806,0.1,6,0.9143111755233665,0.7648308307681294,1.0655875559708086,0.7228535353535354
с нуля,Base,None,119.73863863945007,0.1,7,0.8085005705013025,0.7937710287064214,2.118719492361627,0.5503472222222222
с нуля,Base,None,118.330251455307,0.1,8,0.7134166205033464,0.8171777686305391,1.002151917703826,0.7383207070707071
с нуля,Base,None,117.73303031921387,0.1,9,0.6287809161379868,0.8398339627031283,0.8660363672357617,0.7749368686868687
с нуля,Base,None_0.1,123.01303601264954,0.1,0,2.3430897148415513,0.3810602942229222,2.3201820383770295,0.3817866161616162
с нуля,Base,None_0.1,118.79325771331787,0.1,1,1.0960553973002205,0.7039583184193572,2.1969939846583086,0.5280934343434344
с нуля,Base,None_0.1,118.4978187084198,0.1,2,0.7329314082991087,0.802238438685661,1.526948805296361,0.6237373737373737
с нуля,Base,None_0.1,117.9422550201416,0.1,3,0.5324780135435829,0.8521021995132078,1.8773117958746774,0.5729166666666666
с нуля,Base,None_0.1,117.64992070198059,0.1,4,0.41272744172004633,0.8870635424869354,0.7379953077420441,0.788510101010101
с нуля,Base,None_0.1,119.07798671722412,0.1,5,0.31537568839226227,0.9138203343116902,2.1477903711675395,0.5631313131313131
с нуля,Base,None_0.1,119.17641377449036,0.1,6,0.22728614326908078,0.9376196846588876,2.415616601854892,0.5404040404040404
с нуля,Base,None_0.1,117.37965416908264,0.1,7,0.17583911408828856,0.9500378069296299,1.0485601964397262,0.7370580808080808
с нуля,Base,None_0.1,118.78426671028137,0.1,8,0.12429283615445726,0.9681974371823323,0.5141346232137747,0.8753156565656566
с нуля,Base,None_0.1,117.7222375869751,0.1,9,0.07008918073215403,0.983757561385926,0.48946261534824814,0.8784722222222222
