model,train_accuracy,train_loss,test_accuracy,epoch
resnet18,0.8665666666666667,0.5905121715227762,0.9369,0
resnet18,0.944,0.22117701845169066,0.9491,1
resnet18,0.9536666666666667,0.17036730856895446,0.9555,2
resnet18,0.9589166666666666,0.1461434277455012,0.9576,3
resnet18,0.9621666666666666,0.1313543933471044,0.9593,4
resnet18,0.96485,0.1211293117205302,0.9604,5
resnet18,0.9668666666666667,0.11350109230677287,0.9615,6
resnet18,0.96795,0.10751112693945566,0.9622,7
resnet18,0.96955,0.10263220689296722,0.9621,8
resnet18,0.97055,0.09854829381306966,0.9629,9
