model,train_accuracy,train_loss,test_accuracy,epoch
vgg16,0.8234166666666667,0.4919005859375,0.9816,0
vgg16,0.9855333333333334,0.04889695310393969,0.9875,1
vgg16,0.99045,0.03172715139985084,0.9901,2
vgg16,0.9925666666666667,0.02498081604341666,0.9918,3
vgg16,0.9943833333333333,0.01914662652959426,0.9923,4
vgg16,0.9953166666666666,0.015704852230101825,0.9911,5
vgg16,0.9962833333333333,0.012775601157359779,0.9911,6
vgg16,0.9958,0.012742941502730051,0.9921,7
vgg16,0.9963333333333333,0.011288053965816894,0.9871,8
vgg16,0.9970166666666667,0.009971694254813096,0.9912,9
